trade_id,timestamp,ticker,company_name,domain,trade_type,quantity,price,total_value,currency,exchange,trader_id
T001,2026-02-20T09:30:00Z,AAPL,Apple Inc.,Technology,BUY,500,182.50,91250.00,USD,NASDAQ,TR001
T002,2026-02-20T09:33:00Z,GOOGL,Alphabet Inc.,Technology,BUY,200,141.20,28240.00,USD,NASDAQ,TR002
T003,2026-02-20T09:36:00Z,JPM,JPMorgan Chase,Finance,SELL,300,195.80,58740.00,USD,NYSE,TR001
T004,2026-02-20T09:39:00Z,MSFT,Microsoft Corp.,Technology,BUY,150,415.30,62295.00,USD,NASDAQ,TR003
T005,2026-02-20T09:42:00Z,JNJ,Johnson & Johnson,Healthcare,BUY,400,155.60,62240.00,USD,NYSE,TR002
T006,2026-02-20T09:45:00Z,XOM,Exxon Mobil Corp.,Energy,BUY,350,105.40,36890.00,USD,NYSE,TR004
T007,2026-02-20T09:48:00Z,NVDA,NVIDIA Corp.,Technology,BUY,100,875.20,87520.00,USD,NASDAQ,TR001
T008,2026-02-20T09:51:00Z,AAPL,Apple Inc.,Technology,SELL,250,183.10,45775.00,USD,NASDAQ,TR005
T009,2026-02-20T09:54:00Z,BAC,Bank of America,Finance,BUY,600,35.90,21540.00,USD,NYSE,TR003
T010,2026-02-20T09:57:00Z,PFE,Pfizer Inc.,Healthcare,BUY,450,27.80,12510.00,USD,NYSE,TR002
T011,2026-02-20T10:00:00Z,TSLA,Tesla Inc.,Technology,BUY,80,245.60,19648.00,USD,NASDAQ,TR004
T012,2026-02-20T10:05:00Z,GOOGL,Alphabet Inc.,Technology,SELL,150,141.80,21270.00,USD,NASDAQ,TR001
T013,2026-02-20T10:10:00Z,AMZN,Amazon.com Inc.,Retail,BUY,120,178.90,21468.00,USD,NASDAQ,TR005
T014,2026-02-20T10:15:00Z,XOM,Exxon Mobil Corp.,Energy,SELL,200,106.10,21220.00,USD,NYSE,TR003
T015,2026-02-20T10:20:00Z,CVX,Chevron Corp.,Energy,BUY,250,152.30,38075.00,USD,NYSE,TR002
T016,2026-02-20T10:30:00Z,JPM,JPMorgan Chase,Finance,BUY,180,196.20,35316.00,USD,NYSE,TR004
T017,2026-02-20T10:40:00Z,UNH,UnitedHealth Group,Healthcare,BUY,75,528.40,39630.00,USD,NYSE,TR001
T018,2026-02-20T10:50:00Z,NVDA,NVIDIA Corp.,Technology,SELL,60,878.50,52710.00,USD,NASDAQ,TR005
T019,2026-02-20T11:00:00Z,WMT,Walmart Inc.,Retail,BUY,300,168.70,50610.00,USD,NYSE,TR003
T020,2026-02-20T11:15:00Z,AAPL,Apple Inc.,Technology,SELL,320,183.40,58688.00,USD,NASDAQ,TR002
